predictor_iterations,nx,dx,l1_error,l2_error,linf_error
0,80,0.0125,8.157826965089765e-06,9.31512747016148e-06,1.6469600993440636e-05
0,160,0.00625,2.0221170197461116e-06,2.3075462216491324e-06,4.076516318618495e-06
0,320,0.003125,4.959499530794026e-07,5.654054835841509e-07,9.980605858439517e-07
1,80,0.0125,1.248134309310145e-05,1.4230882677701044e-05,2.5309176499233033e-05
1,160,0.00625,3.1047869477614234e-06,3.5401940464602097e-06,6.297048297909669e-06
1,320,0.003125,7.680889764497684e-07,8.752875130778596e-07,1.5549816487769874e-06
2,80,0.0125,1.2484005097949946e-05,1.4237658758742842e-05,2.5343719467052495e-05
2,160,0.00625,3.1051146854928215e-06,3.5410439416768963e-06,6.301653447282618e-06
2,320,0.003125,7.68130649472093e-07,8.753944707283354e-07,1.5555663168687062e-06
