reference_nx,nx,dx,l1_error,l2_error,linf_error
1280,80,0.0125,1.2444750009768524e-05,1.4189244156269706e-05,2.5235437689064e-05
1280,160,0.00625,3.0682422110267506e-06,3.498549571214481e-06,6.223140910810443e-06
1280,320,0.003125,7.315311072925157e-07,8.336418007995349e-07,1.4810742616777617e-06
2560,80,0.0125,1.248134309310145e-05,1.4230882677701044e-05,2.5309176499233033e-05
2560,160,0.00625,3.1047869477614234e-06,3.5401940464602097e-06,6.297048297909669e-06
2560,320,0.003125,7.680889764497684e-07,8.752875130778596e-07,1.5549816487769874e-06
5120,80,0.0125,1.2490489626432178e-05,1.4241289447390521e-05,2.532760281837021e-05
5120,160,0.00625,3.1139212302792876e-06,3.550602380634827e-06,6.315516270172239e-06
5120,320,0.003125,7.772266878581374e-07,8.85696191752924e-07,1.5734496210395577e-06
