method,nx,dx,cfl,final_time,n_steps,l1_error,l2_error,linf_error,mass_error
upwind,40,0.025,0.5,0.25,20,0.03816048911795194,0.04234208394526623,0.059696157008403805,0.0
lax_wendroff,40,0.025,0.5,0.25,20,0.0030770719918553333,0.0034206571228617626,0.0048368117396261345,0.0
cfweno,40,0.025,0.5,0.25,20,2.0993098053361566e-05,2.329350437045376e-05,3.2840440635339974e-05,1.7763568394002506e-16
upwind,80,0.0125,0.5,0.25,40,0.019345114582441862,0.02148149769035728,0.030356003937798824,0.0
lax_wendroff,80,0.0125,0.5,0.25,40,0.0007706396025506589,0.0008561316976083535,0.0012107015020623724,0.0
cfweno,80,0.0125,0.5,0.25,40,2.5485671323796552e-06,2.8300188523385673e-06,3.999165452572839e-06,0.0
upwind,160,0.00625,0.5,0.25,80,0.00974341304100514,0.01082151551950694,0.015300984034175125,0.0
lax_wendroff,160,0.00625,0.5,0.25,80,0.0001927400884000496,0.00021409034384763174,0.00030276603872692043,0.0
cfweno,160,0.00625,0.5,0.25,80,3.162023452906426e-07,3.5118993446146983e-07,4.96561833207565e-07,0.0
upwind,320,0.003125,0.5,0.25,160,0.004890019140049293,0.005431358401861787,0.0076807305537851065,0.0
lax_wendroff,320,0.003125,0.5,0.25,160,4.8189852747198e-05,5.352607463808776e-05,7.569707962762351e-05,0.0
cfweno,320,0.003125,0.5,0.25,160,3.945121747861157e-08,4.381858137135331e-08,6.196584600992594e-08,0.0
